Pulse height	Charge integral
0.092508	157
0.043572	16
0.069728	115
0.048529	50
0.104636	182
0.029229	15
0.037350	10
0.026592	32
0.097359	156
0.099047	120
0.078165	105
0.045893	92
0.087129	129
0.088500	97
0.060974	65
0.031655	18
0.047474	54
0.026487	4
0.122565	193
0.112335	155
0.112757	170
0.068884	103
0.032709	7
0.028596	21
0.077637	135
0.109593	206
0.024905	20
0.026171	30
0.054224	68
0.042623	5
0.034291	4
0.107589	142
0.038932	7
0.047580	57
0.043994	9
0.048529	79
0.060447	77
0.039143	7
0.074895	104
0.050006	34
0.180255	196
0.130475	146
0.028807	10
0.063083	120
0.034924	11
0.041041	65
0.059076	76
0.049162	9
0.058337	3
0.142709	242
0.065509	5
0.096305	93
0.244905	363
0.046947	59
0.033237	9
0.039565	41
0.034186	31
0.098203	168
0.136698	216
0.106324	150
0.047474	13
0.038826	56
0.029545	9
0.121194	146
0.032920	8
0.032182	19
0.032182	3
0.042096	56
0.072153	95
0.026487	34
0.045893	55
0.035346	15
0.036928	29
0.039565	14
0.036084	10
0.042412	22
0.151885	220
0.074790	86
0.053591	16
0.034502	12
0.036717	37
0.033342	2
0.041252	43
0.028596	2
0.027436	39
0.036506	53
0.133112	196
0.027014	27
0.027858	26
0.037455	30
0.063822	63
0.044943	10
0.056334	12
0.057283	75
0.033342	42
0.068884	103
0.084493	94
0.024061	20
0.034186	12
0.066880	90
0.023850	5
0.125940	196
0.026382	23
0.036928	16
0.054962	58
0.025327	13
0.054119	59
0.072997	114
0.062872	101
0.104004	106
0.042096	9
0.090821	129
0.043256	6
0.099996	163
0.026065	36
0.099574	193
0.119401	211
0.088078	134
0.045049	17
0.092613	162
0.025010	9
0.041041	3
0.141760	239
0.049373	33
0.044627	38
0.040514	29
0.039670	7
0.050744	57
0.070255	72
0.134272	194
0.049584	5
0.042623	41
0.030917	21
0.030495	34
0.026909	31
0.028174	14
0.100418	167
0.029756	5
0.027647	19
0.119401	163
0.035873	4
0.056861	94
0.031338	6
0.102527	176
0.050849	63
0.069728	76
0.041252	3
0.035768	35
0.030811	47
0.038194	11
0.045576	53
0.062240	62
0.127628	183
0.032604	8
0.057599	74
0.044732	52
0.064665	96
0.036190	4
0.033975	21
0.057915	18
0.029862	9
0.071837	93
0.107378	178
0.062556	84
0.038510	6
0.033870	10
0.079430	101
0.090082	108
0.032393	15
0.064243	83
0.027014	12
0.043150	69
0.048002	5
0.082278	130
0.086075	116
0.111070	199
0.029018	11
0.071310	43
0.032709	5
0.030917	16
0.056334	8
0.037139	31
0.113285	179
0.118347	161
0.034397	12
0.065298	48
0.055173	91
0.036928	33
0.034608	57
0.026382	18
0.066985	78
0.041568	15
0.048740	18
0.028913	28
0.104847	145
0.035135	3
0.032604	3
0.082911	98
0.101683	155
0.036084	49
0.068989	10
0.042096	4
0.136909	211
0.056755	5
0.104320	136
