Pulse height	Charge integral
0.235624	317
0.028596	4
0.056861	53
0.205461	278
0.255557	340
0.129948	263
0.229929	336
0.064982	8
0.252393	324
0.215374	305
0.041463	67
0.029335	4
0.270533	368
0.241002	293
0.033448	13
0.182153	319
0.231194	337
0.027331	9
0.194492	328
0.205144	283
0.242901	305
0.205355	336
0.247436	359
0.253131	319
0.215058	308
0.241319	330
0.254291	351
0.241952	326
0.250178	311
0.197551	333
0.217906	307
0.029862	20
0.255767	338
0.205039	308
0.214742	346
0.062345	11
0.027120	35
0.062240	16
0.046842	67
0.216218	308
0.142604	201
0.267790	332
0.164857	205
0.031760	5
0.036295	21
0.222019	276
0.203984	317
0.226448	339
0.221913	264
0.039248	15
0.131741	25
0.233831	340
0.243217	313
0.178989	233
0.038826	7
0.249229	352
0.225710	319
0.033659	4
0.031022	2
0.177618	263
0.163908	181
0.043889	7
0.218855	324
0.214003	319
0.239526	335
0.207992	317
0.202191	315
0.039776	70
0.050322	18
0.223495	341
0.072786	21
0.237944	316
0.068673	11
0.026065	3
0.024694	5
0.033237	22
0.230561	303
0.072891	79
0.025432	27
0.188270	327
0.027858	26
0.034924	29
0.224655	325
0.219804	316
0.027542	43
0.236889	320
0.073419	70
0.199449	330
0.159162	207
0.223390	313
0.230245	326
0.029967	7
0.044100	10
0.028596	12
0.243112	324
0.265787	444
0.195653	295
0.197656	292
0.047158	13
0.025643	10
0.084704	2
0.122460	138
0.242584	259
0.025960	16
0.203351	317
0.043572	47
0.236362	349
0.222441	326
0.053908	77
0.188165	267
0.037350	55
0.058337	59
0.046314	4
0.145346	253
0.229929	320
0.042518	47
0.033342	37
0.028174	6
0.041041	13
0.027120	31
0.033975	39
0.035979	3
0.223073	280
0.225815	348
0.194598	270
0.221280	303
0.059919	12
0.222441	315
0.247014	325
0.050849	4
0.023429	7
0.073102	76
0.026698	10
0.101683	154
0.233725	299
0.207254	301
0.213054	294
0.199027	306
0.116027	174
0.143131	236
0.031127	31
0.237206	340
0.218011	356
0.052537	3
0.210101	321
0.206199	346
0.250916	340
0.199766	327
0.154521	196
0.042096	22
0.237311	342
0.033553	20
0.044521	50
0.224655	297
0.195863	293
0.250811	308
0.216745	324
0.080169	99
0.031866	38
0.209996	323
