Pulse height	Charge integral
0.268704	337
0.281666	330
0.234980	326
0.221649	319
0.226602	334
0.242937	301
0.248153	329
0.217433	358
0.247837	329
0.234927	345
0.258534	350
0.224020	323
0.199623	293
0.256057	326
0.206948	301
0.270390	338
0.234822	296
0.207685	319
0.214377	300
0.217750	313
0.033641	12
0.245308	336
0.246046	358
0.062411	77
0.225074	297
0.224916	328
0.207158	325
0.217065	313
0.218487	339
0.227498	348
0.202732	321
0.255109	332
0.242146	330
0.203312	348
0.211216	329
0.235138	348
0.246098	347
0.232187	336
0.231871	347
0.192457	339
0.264067	365
0.227340	315
0.213798	306
0.249418	334
0.230975	301
0.094396	94
0.237509	305
0.237457	320
0.237351	316
0.249155	352
0.203417	261
0.243148	328
0.207738	292
0.226022	309
0.068102	60
0.286092	324
0.252580	363
0.221333	295
0.246941	322
0.240987	317
0.205841	342
0.219225	311
0.216696	310
0.234769	303
0.205999	283
0.246098	347
0.233294	322
0.211110	359
0.232609	322
0.238511	331
0.226497	321
0.212796	300
0.206842	289
0.210583	302
0.253897	316
0.173013	260
0.262380	318
0.082382	83
0.277872	345
0.252896	350
0.285302	352
0.233716	326
0.237457	325
0.163845	200
0.207843	296
0.281139	327
0.253001	337
0.250577	303
0.232714	305
0.316022	336
0.107569	13
0.265964	375
0.269968	288
0.247943	334
0.221333	310
0.227340	341
0.247258	350
0.243833	331
0.229553	316
0.216327	327
0.267386	376
0.261590	305
0.257796	346
0.229131	339
0.279506	340
0.049396	36
0.207843	305
0.238932	334
0.291678	307
0.105461	84
0.218118	291
0.289991	299
0.249523	333
0.245044	506
0.203523	348
0.244043	342
0.269915	347
0.233031	330
0.231239	321
0.267017	351
0.198464	333
0.192668	326
0.225285	343
0.092393	14
0.079484	83
0.232346	332
0.252738	303
0.226339	351
0.209688	327
0.214008	297
0.035696	2
0.231450	369
0.299634	339
0.224705	293
0.215589	318
0.197516	270
0.224969	329
0.238511	331
0.254213	330
0.220595	336
0.268124	347
0.233136	334
0.270706	320
0.215431	292
0.199571	310
0.220858	325
0.257322	357
0.214008	316
0.266174	359
0.201626	262
0.184290	271
0.244412	366
0.247468	357
0.229237	318
0.229711	331
0.244623	340
0.220437	310
0.244359	353
0.219067	320
0.233241	333
0.157574	252
0.238405	346
0.206157	321
0.200150	281
0.258745	339
0.251578	311
0.215800	296
0.275343	335
0.242884	346
0.196936	317
0.236139	331
0.217802	338
0.040807	3
0.222913	309
0.211585	340
0.219278	326
0.257902	326
0.263118	328
0.277292	336
0.238247	343
0.227656	347
0.242989	299
0.225548	292
0.219172	316
0.221280	331
0.214535	325
0.043811	7
0.209740	277
0.209635	314
0.223072	313
0.260378	343
0.229974	306
0.082698	13
0.216011	324
0.231344	321
0.269494	337
0.218962	306
0.249681	305
0.241514	330
0.206421	256
0.222334	325
0.198833	310
0.240618	357
0.224969	294
0.236403	291
0.250630	336
0.051240	33
0.260062	321
0.198306	271
0.231502	332
0.259957	330
0.250683	319
0.211848	329
0.217065	344
0.213376	311
0.253475	340
0.206895	343
0.266332	351
0.234611	317
0.231871	300
0.237035	317
0.216011	319
0.209740	301
0.232082	323
0.218329	319
0.210794	279
0.270811	314
0.257638	351
0.266016	314
0.257427	354
0.225337	300
0.277714	345
0.224073	288
0.255372	347
0.205788	305
0.039543	33
0.212322	306
0.207896	301
0.239723	312
0.253633	324
0.213323	315
0.249787	329
0.214061	304
0.252790	322
0.217908	309
0.239354	342
0.062780	76
0.234822	299
0.269230	323
0.041492	47
0.252105	320
0.349218	673
0.046498	6
0.222755	316
0.045602	47
0.186239	303
0.212480	317
0.235033	325
0.270495	310
0.222387	322
0.209266	320
0.283510	350
0.248891	356
0.254424	334
0.059566	57
0.247837	329
0.232082	328
0.235402	334
0.210162	294
0.272972	356
0.193142	331
0.238669	307
0.225021	291
0.262380	335
0.271760	333
0.271180	327
0.243464	328
0.251684	321
0.244412	306
0.231713	335
0.180759	299
0.113839	129
0.241725	330
0.247995	305
0.266174	337
0.240671	328
0.075743	16
0.254055	324
0.233979	339
0.225548	322
0.180180	250
0.212006	296
0.224442	330
0.205841	338
0.222228	323
0.255372	321
0.227340	329
0.220015	322
0.240776	304
0.234980	366
0.247626	367
0.242621	330
0.244043	350
0.229395	299
0.288042	344
0.200519	304
0.272023	363
0.223282	318
0.233716	299
0.312755	348
0.262538	341
0.276818	341
0.224231	296
0.189506	259
0.084806	20
0.045286	3
0.046867	8
0.203786	299
0.039016	3
0.227392	321
0.216274	291
0.266332	339
0.243306	311
0.205419	299
0.047868	7
0.076849	79
0.231661	346
0.206421	326
0.236930	324
0.233926	322
0.044654	45
0.221122	326
0.271022	337
0.200203	272
0.207475	293
0.215747	315
0.237667	302
0.265700	323
0.241356	312
0.279137	319
0.185027	288
0.109993	141
0.170115	233
0.273182	345
0.231819	321
0.276186	345
0.035591	34
0.191772	319
0.213956	357
0.231871	315
0.261432	340
0.241461	328
0.196620	320
0.290518	336
0.069736	101
0.218277	306
0.149249	21
0.207633	310
0.205472	301
0.232187	328
0.239828	326
0.218803	328
0.260009	336
0.262538	325
0.240355	329
0.250841	359
0.232082	352
0.218751	364
0.209055	327
0.233241	351
0.235138	317
0.238036	317
0.044970	37
0.250103	313
0.247943	322
0.240197	312
0.261537	316
0.222861	323
0.064466	3
0.261748	332
0.224600	336
0.244412	317
0.251262	352
0.233136	335
0.218856	317
0.306748	341
0.233136	309
0.219383	301
0.229711	332
0.243833	341
0.252369	321
0.265384	324
0.255267	348
0.257691	317
0.268071	337
0.254318	333
0.296578	362
0.245150	323
0.249102	343
0.248101	350
0.257322	316
0.227076	328
0.280191	330
0.231924	281
0.232346	293
0.247890	358
0.212111	318
0.081749	6
0.232872	305
0.242041	355
0.235771	295
0.224231	298
0.226022	349
0.263013	341
0.185554	258
0.259430	344
0.202205	338
0.211743	302
0.249576	340
0.050713	9
0.265805	330
0.198569	296
0.260009	317
0.226813	328
0.209582	286
0.238985	328
0.220911	335
0.229237	324
0.216485	314
0.250735	315
0.258745	322
0.176807	267
0.196304	310
0.199623	309
0.285354	318
0.233610	311
0.218803	321
0.203470	326
0.222123	312
0.234137	349
0.254318	318
0.201415	268
0.204576	330
0.239406	305
0.149723	19
0.254635	325
0.225759	342
0.229131	330
0.232029	329
0.216854	321
0.039437	5
0.256110	318
0.256795	326
0.215642	335
0.179442	253
0.195513	302
0.079642	12
0.251420	331
0.203681	273
0.226128	330
0.204524	314
0.201678	299
0.291572	356
0.097610	93
0.242989	333
0.213692	325
0.230659	334
0.238932	318
0.236139	292
0.048290	64
0.235033	325
0.205103	315
0.223493	294
0.229922	310
0.299213	352
0.214061	349
0.238774	358
0.207106	306
0.294260	301
0.240144	316
0.231871	350
0.209371	324
0.264910	348
0.243833	333
0.240249	342
0.215220	320
0.246256	359
0.229869	330
0.209266	332
0.243885	343
0.186924	271
0.238300	313
0.240408	333
0.186608	290
0.235665	323
0.225337	337
0.248522	326
0.218171	363
0.244518	336
0.251526	344
0.214166	321
0.242357	300
0.223124	287
0.252316	336
0.250630	318
0.218329	339
0.184079	309
0.234717	341
0.231397	315
0.220490	302
0.198095	320
0.247837	338
0.227129	309
0.212270	331
0.261695	305
0.250841	331
0.248996	335
0.237035	302
0.247521	339
0.303692	341
0.232662	323
0.231555	320
0.244834	309
0.168956	287
0.237193	340
0.265964	347
0.179969	267
0.236719	302
0.268493	336
0.227972	345
0.210109	314
0.210636	307
0.242884	346
0.172170	277
0.264699	350
0.229605	326
0.210162	329
0.234032	326
0.208054	293
0.240987	305
0.229869	357
0.202416	298
0.224863	313
0.188084	275
0.180285	206
0.199360	297
0.198517	304
0.267650	321
0.157627	222
0.266122	366
0.239881	335
0.208160	293
0.208107	307
0.278030	326
0.159998	271
0.174542	28
0.244570	322
0.288569	335
0.232451	330
0.251947	340
0.286250	346
0.232820	314
0.239564	316
0.246941	318
0.104671	83
0.256584	336
0.257743	323
0.239828	307
0.229447	331
0.238827	301
0.278136	326
0.247310	296
0.196831	290
0.265173	311
0.239775	353
0.251315	299
0.187820	292
0.239459	327
0.281086	319
0.199676	255
0.186924	296
0.038594	2
0.269389	339
0.212217	295
0.213218	247
0.230975	339
0.249471	338
0.233452	346
0.273446	329
0.217855	311
0.237667	316
0.237773	297
0.035591	12
0.234190	316
0.233189	343
0.263434	323
0.234348	311
0.279347	339
0.199992	302
0.102616	100
0.243516	305
0.208792	338
0.232398	325
0.039964	29
0.208950	304
0.256268	331
0.211743	293
0.198148	346
0.232556	325
0.222755	287
0.262433	308
0.230290	331
0.269705	343
0.272181	348
0.244359	319
0.203523	303
0.211585	313
0.227761	350
0.235138	353
0.271338	342
0.239512	337
0.261010	320
0.227129	311
0.250841	337
0.235402	319
0.263645	336
0.229922	327
0.264435	345
0.242673	359
0.209530	312
0.242410	334
0.211690	289
0.272129	320
0.206473	299
0.284880	350
0.211058	317
0.237088	348
0.222597	343
0.239564	332
0.228815	349
0.289201	320
0.068892	63
0.242304	300
0.194038	289
0.249998	362
0.173171	280
0.260536	331
0.239933	316
0.251051	340
0.212638	303
0.241619	311
0.223915	279
0.242304	355
0.248417	289
0.261537	343
0.241040	328
0.194881	265
0.262433	334
0.226339	294
0.220806	338
0.220700	286
0.268335	343
0.218224	324
0.205999	291
0.114577	70
0.266859	334
0.265911	299
0.250208	331
0.190824	335
0.276449	342
0.212375	318
0.257111	283
0.223757	330
0.241619	310
0.249629	318
0.241040	310
0.235033	343
0.096082	13
0.279980	313
0.242199	321
0.258323	341
0.135549	162
0.243833	326
0.245466	329
0.260115	362
0.269441	330
0.228341	310
0.257796	347
0.054297	3
0.261590	357
0.245940	329
0.191034	307
0.227498	313
0.246362	341
0.051398	68
0.252843	331
0.208739	322
0.216274	313
0.204313	313
0.183025	263
0.243358	311
0.262275	324
0.169061	259
0.231502	340
0.266807	329
0.213060	304
0.220542	342
0.220226	331
0.226760	322
0.211374	283
0.260958	354
0.236087	334
0.226022	314
0.231028	308
0.216380	340
0.271865	333
0.231713	315
0.201309	322
0.220226	305
0.078588	31
0.242410	339
0.219488	324
0.274394	348
0.238669	312
0.210583	309
0.203944	323
0.223915	326
0.215589	311
0.233979	304
0.246151	311
0.228394	359
0.257269	354
0.234401	365
0.227761	312
0.198569	299
0.105725	111
0.241409	340
0.232925	312
0.238563	336
0.211795	288
0.213798	288
0.241198	34
0.263803	342
0.062938	65
0.226602	348
0.198622	272
0.247890	331
0.252632	360
0.229922	283
0.179231	255
0.262275	365
0.255003	302
0.241936	311
0.220964	320
0.188821	308
0.330460	334
0.625592	122
0.232082	249
0.215642	300
0.244412	351
0.270548	317
0.287778	300
0.211216	316
0.222966	326
0.274552	344
0.037013	8
0.202521	308
0.232293	313
0.235402	331
0.244254	342
0.233768	323
0.238721	343
0.244412	329
0.229816	292
0.205578	316
0.216643	302
0.325348	342
0.256373	314
0.209477	327
0.279084	348
0.279506	334
0.230343	308
0.244254	345
0.217592	316
0.232714	333
0.244412	322
0.230817	372
0.245677	305
0.276924	344
0.258639	332
0.208054	340
0.214588	280
0.069156	7
0.258639	340
0.251420	329
0.211901	334
0.228973	342
0.240039	347
0.227287	294
0.180074	216
0.211532	323
0.275712	334
0.233505	315
0.078851	116
0.203206	301
0.222755	309
0.264225	327
0.241303	326
0.281034	360
0.206526	301
0.192088	351
0.201678	327
0.216274	325
0.252211	323
0.221333	292
0.150619	201
0.262644	322
0.211585	324
0.048658	35
0.253844	281
0.235454	320
0.207475	272
0.246098	332
0.208423	342
0.200730	277
0.243253	333
0.252790	322
0.245624	315
0.256742	289
0.230449	296
0.182709	296
0.273446	336
0.279031	353
0.245888	320
0.221122	339
0.250577	338
0.208476	296
0.225074	334
0.235560	338
0.220332	331
0.213587	322
0.225548	332
0.218645	306
0.231344	297
0.257006	328
0.040280	5
0.224073	316
0.216116	325
0.205051	279
0.225706	334
0.280507	324
0.248522	332
0.220279	319
0.279347	348
0.286303	299
0.203259	316
0.246573	338
0.249313	330
0.216274	274
0.199465	319
0.261801	310
0.234295	307
0.199413	300
0.238405	351
0.053190	7
0.238827	321
0.179495	278
0.247732	341
